jobid,pid,homework,grade,remarks
78,A02866348,1,100,
260,A04540481,1,100,
155,A08350601,1,100,
157,A08653595,1,100,
913,A09134209,1,80,not converted to lower case
160,A09146619,1,100,ommited punctuations rather than replacing by space but full credit given
357,A09771598,1,80,not converted to lower case
133,A53072604,1,100,
163,A53087566,1,100,
85,A53106952,1,100,
825,A53108479,1,100,
900,A53110637,1,100,
347,A53110849,1,100,
645,A53111004,1,100,
328,A53111141,1,100,
167,A53111216,1,100,ommited punctuations rather than replacing by space but full credit given
945,A53111231,1,100,
152,A53111354,1,100,
984,A53111588,1,100,
676,A53111789,1,100,
1801,A53111951,1,100,ommited punctuations rather than replacing by space but full credit given
1803,A53112142,1,100,
104,A53112354,1,100,
305,A53112379,1,100,
